
Регион;Аурата сетуньская;Десятилиньята лепая;Гортикола филоперьевая;Мелолонтий западный;Популий грыжомельский;Семипунктата Коха
Австралия;Много;Немного;Единицы;Сравнительно немного;-;-                                                                                                                                           
Албания;-;Очень мало;-;-;Единицы;-                                                                                                                                                                                         
Бутан;Много;-;-;-;-;-                                                                                                                                                                                                                   
Вайоминг;-;-;Немного;-;Немного;-                                                                                                                                                                                            
Вевелония;В огромных количествах;Немного;Сравнительно немного;Сравнительно немного;Сравнительно немного;Много                                   
Германия;В огромных количествах;-;-;-;-;Немного                                                                                                                                                                
Греция;В огромных количествах;-;Много;-;Немного;Немного                                                                                                                                              
Дания;-;-;Сравнительно немного;Сравнительно немного;-;В огромных количествах                                                                                                       
Елабуга;-;-;Много;Очень мало;Много;Много                                                                                                                                                                           
Зимбабве;-;Очень мало;Очень мало;-;Единицы;Единицы                                                                                                                                                        
Индия;Сравнительно немного;Единицы;Сравнительно немного;-;-;-                                                                                                                                   
Йемен;Сравнительно немного;-;-;-;-;Немного                                                                                                                                                                         
Камчатка;Мало;-;Единицы;-;-;-                                                                                                                                                                                                  
Кения;В огромных количествах;-;Немного;Единицы;Много;-                                                                                                                                                
Курдистан;-;-;-;-;Много;-                                                                                                                                                                                                           
Ливан;-;-;В огромных количествах;Немного;В огромных количествах;-                                                                                                                             
Ломбардия;-;-;-;Мало;-;-                                                                                                                                                                                                             
Малайзия;Сравнительно немного;-;-;-;-;Мало                                                                                                                                                                         
Непал;Много;-;-;-;Мало;-                                                                                                                                                                                                            
Пакистан;-;Немного;-;Очень мало;Немного;Немного                                                                                                                                                             
Парагвай;-;Единицы;-;Очень мало;-;-                                                                                                                                                                                       
Патагония;-;Единицы;-;-;Единицы;-                                                                                                                                                                                          
Прерия;-;Немного;Немного;-;Немного;-                                                                                                                                                                                   
Россия;Мало;Мало;Единицы;-;Единицы;Очень мало                                                                                                                                                                
Сибирь;-;Мало;Много;-;-;-                                                                                                                                                                                                          
Сингапур;-;-;Много;Много;Сравнительно немного;Сравнительно немного                                                                                                                        
Танганьика;Сравнительно немного;-;Очень мало;Много;Очень много;Очень много                                                                                                         
Танзания;В огромных количествах;-;-;-;Единицы;-                                                                                                                                                                
Таруса;-;-;-;Много;-;-                                                                                                                                                                                                                 
Тотьма;-;-;-;Очень много;-;-                                                                                                                                                                                                      
Уганда;Сравнительно немного;Сравнительно немного;Много;-;-;-                                                                                                                                     
Филиппины;-;Мало;Очень мало;Единицы;Очень много;-                                                                                                                                                          
Херсонес;-;-;Много;-;Много;Мало                                                                                                                                                                                             
Шри-Ланка;Много;-;-;-;-;Мало                                                                                                                                                                                                     
Эритрея;Сравнительно немного;Единицы;-;-;-;-                                                                                                                                                                     
Эфиопия;Сравнительно немного;-;Очень много;Единицы;Много;Единицы                                                                                                                           
Югославия;-;-;Много;-;Много;-                                                                                                                                                                                                  
Ямайка;-;Сравнительно немного;Очень мало;-;-;Очень много                                                                                                                                              
Япония;Сравнительно немного;-;-;Много;Единицы;Очень много                                                                                                                                          
