
Австралия;151  
Албания;6        
Бутан;75           
Вайоминг;50     
Вевелония;350  
Германия;125    
Греция;225        
Дания;200          
Елабуга;230      
Зимбабве;12     
Индия;101          
Йемен;75           
Камчатка;11     
Кения;201          
Курдистан;75   
Ливан;225          
Ломбардия;10   
Малайзия;60     
Непал;85           
Пакистан;80     
Парагвай;6      
Патагония;2    
Прерия;75         
Россия;27         
Сибирь;85         
Сингапур;250    
Танганьика;310
Танзания;101    
Таруса;75         
Тотьма;90         
Уганда;175        
Филиппины;106  
Херсонес;160    
Шри-Ланка;85    
Эритрея;51       
Эфиопия;217      
Югославия;150  
Ямайка;145        
Япония;216        
